entity_id,entity_name,entity_type
1,李斯,人名
2,通古,字号
3,秦,时间
4,楚国上蔡(今河南上蔡西),地名
5,小篆,书体/印风
6,崔瑗,人名
7,李阳冰,人名
8,邓石如,人名
9,钱坫,人名
10,王澍,人名
11,程邈,人名
12,元岑,字号
13,下邽(今陕西渭南东北)或下杜(今西安南),地名
14,隶书,书体/印风
15,史游,人名
16,西汉,时间
17,,地名
18,章草,书体/印风
19,王次仲,人名
20,东汉（一说秦代）,时间
21,上谷(今河北怀来东南),地名
22,子玉,字号
23,东汉,时间
24,涿郡安平(今河北安平),地名
25,杜度,人名
26,张芝,人名
27,曹喜,人名
28,仲则,字号
29,扶风平陵(今陕西咸阳东北),地名
30,悬针篆,书体/印风
31,垂露篆,书体/印风
32,邯郸淳,人名
33,蔡邕,人名
34,伯度,字号
35,京兆(今陕西西安),地名
36,皇象,人名
37,师宜宫,人名
38,南阳(今属河南),地名
39,梁鹄,人名
40,刘德昇,人名
41,君嗣,字号
42,颍川(今河南禹县),地名
43,行书,流派
44,行书,流派
45,,人名
46,胡昭,人名
47,孟皇,字号
48,安定乌氏(今甘肃平凉西北),地名
49,师宜官,人名
50,伯英,字号
51,敦煌酒泉(今甘肃酒泉),地名
52,草书,书体/印风
53,张昶（弟）,人名
54,张昶,人名
55,韦诞,人名
56,卫觊,人名
57,索靖,人名
58,卫恒,人名
59,伯喈,字号
60,陈留圉(今河南杞县南),地名
61,飞白书,流派
62,文舒,字号
63,八分,书体/印风
64,张芝（兄）,人名
65,（未提及,人名
66,孔明,字号
67,三国·魏,时间
68,子叔（一作子淑）,人名
69,颍川(今河南禹县)或陈留(今河南陈留),地名
70,古文,书体/印风
71,大篆,书体/印风
72,八分,书体/印风
73,元常,字号
74,颍川(今河南长葛),地名
75,楷书,书体/印风
76,卫铄,人名
77,,人名
78,虞世南,人名
79,,人名
80,祝允明,人名
81,文徵明,人名
82,王宠,人名
83,仲将,字号
84,京兆(今属陕西西安),地名
85,草书,书体/印风
86,休明,字号
87,三国·吴,时间
88,江都(今江苏扬州),地名
89,宋克,人名
90,沈曾植,人名
91,卫瓘,人名
92,伯玉,字号
93,西晋,时间
94,河东安邑(今山西夏县),地名
95,卫觊（父）,人名
96,嵇康,人名
97,叔夜,字号
98,谯郡铚(今安徽濉溪南),地名
99,山涛,人名
100,阮籍等（竹林七贤）,人名
101,幼安,字号
102,敦煌(今甘肃敦煌),地名
103,王蘧常,人名
104,王世镗,人名
105,丰子恺,人名
106,余绍宋,人名
107,巨山,字号
108,河东安邑(今山西夏县北),地名
109,隶书,书体/印风
110,卫瓘（父）,人名
111,陆机,人名
112,士衡,字号
113,华亭(今上海松江),地名
114,陆抗（父）,人名
115,陆云（弟）,人名
116,郗鉴,人名
117,道徽,字号
118,高平金乡(今山东金乡),地名
119,卫铄（卫夫人）,人名
120,茂漪,字号
121,东晋,时间
122,庾翼,人名
123,稚恭,字号
124,鄢陵(今河南鄢陵),地名
125,庾亮（兄）,人名
126,谢安,人名
127,安石,字号
128,陈郡阳夏(今河南太康),地名
129,逸少,字号
130,琅琊临沂(今山东临沂),地名
131,王旷（父）,人名
132,王献之,人名
133,陶弘景,人名
134,智永,人名
135,,人名
136,李世民,人名
137,孙过庭,人名
138,,人名
139,赵构,人名
140,,人名
141,王文治,人名
142,张翼,人名
143,君祖,字号
144,下邳(今江苏睢宁西北),地名
145,子敬,字号
146,行草,书体/印风
147,王羲之（父）,人名
148,王羲之第七子,人名
149,羊欣,人名
150,薄绍之,人名
151,王僧虔,人名
152,萧道成,人名
153,王珣,人名
154,元琳,字号
155,临沂(今山东临沂),地名
156,王洽（父）,人名
157,王珉（弟）,人名
158,王珉,人名
159,季琰,字号
160,王珣（兄）,人名
161,桓玄,人名
162,敬道,字号
163,龙亢(今安徽龙亢),地名
164,桓温（父）,人名
165,敬元,字号
166,东晋—南朝宋,时间
167,泰山南城(今山东费县),地名
168,敬叔（一作钦叔）,人名
169,南朝宋,时间
170,丹阳(今属江苏),地名
171,虞龢,人名
172,余姚(今浙江余姚),地名
173,南朝齐,时间
174,绍伯,字号
175,南兰陵(今江苏常州西北),地名
176,郑道昭,人名
177,僖伯,字号
178,中岳先生,字号
179,北魏,时间
180,开封(今属河南),地名
181,贝义渊,人名
182,南朝梁,时间
183,吴兴(今浙江湖州),地名
184,,人名
185,通明,字号
186,华阳隐居等,字号
187,秣陵(今江苏南京),地名
188,萧衍,人名
189,叔达,字号
190,萧子云,人名
191,景乔,字号
192,庾肩吾,人名
193,慎之,字号
194,玄静先生,字号
195,新野(今河南新野),地名
196,僧人,字号
197,永禅师,字号
198,隋,时间
199,山阴(今浙江绍兴),地名
200,信本,字号
201,唐,时间
202,潭州临湘(今湖南长沙),地名
203,欧体,书体/印风
204,欧阳通,人名
205,翁方纲,人名
206,永瑆,人名
207,溥儒,人名
208,伯施,字号
209,越州余姚(今浙江余姚),地名
210,陆柬之,人名
211,师通,字号
212,欧阳询（父）,人名
213,登善,字号
214,钱塘(今浙江杭州),地名
215,褚体,书体/印风
216,薛稷,人名
217,吴县(今江苏苏州),地名
218,陆彦远,人名
219,李治,人名
220,为善,字号
221,王知敬,人名
222,怀州河内(今河南沁阳),地名
223,嗣通,字号
224,蒲州汾阳(今山西宝鼎),地名
225,钟绍京,人名
226,贺知章,人名
227,季真,字号
228,四明狂客,字号
229,越州永兴(今浙江萧山),地名
230,李白,人名
231,张旭等,人名
232,吴(今江苏苏州),地名
233,陆柬之（父）,人名
234,张旭,人名
235,虔礼,字号
236,吴郡(今江苏苏州)或陈留(今河南开封)或富阳(今浙江富阳),地名
237,,人名
238,泰和,字号
239,扬州江都(今江苏扬州),地名
240,李善（父）,人名
241,杜甫,字号
242,高适等,字号
243,,人名
244,高邕,人名
245,李隆基,人名
246,张怀瓘,人名
247,海陵(今江苏泰州),地名
248,徐浩,人名
249,季海,字号
250,越州(今浙江绍兴),地名
251,蔡襄,人名
252,韩择木,人名
253,昌黎(今属河北),地名
254,蔡有邻,人名
255,济阳(今属山东),地名
256,伯高,字号
257,吴郡(今江苏苏州),地名
258,草书,书体/印风
259,张若虚,人名
260,包融（吴中四士）,人名
261,,人名
262,怀素,人名
263,,人名
264,陆游,人名
265,詹景凤,人名
266,林散之,人名
267,清臣,字号
268,颜体,书体/印风
269,柳公权,人名
270,邬彤,人名
271,杨凝式,人名
272,李建中,人名
273,钱沣,人名
274,,人名
275,伊秉绶,人名
276,翁同龢,人名
277,何绍基,人名
278,赵之谦,人名
279,藏真,字号
280,湖南长沙,地名
281,高闲,人名
282,赵佶,人名
283,少温,字号
284,赵郡(治今河北赵县),地名
285,洪亮吉,人名
286,张惠言,人名
287,张从申,人名
288,沈传师,人名
289,子言,字号
290,诚悬,字号
291,京兆华原(今山西耀县),地名
292,柳体,书体/印风
293,王铎,人名
294,梁同书,人名
295,左宗棠,人名
296,裴休,人名
297,公美,字号
298,孟州济源(今河南济源),地名
299,宋儋,人名
300,藏诸,字号
301,广平(今属河北),地名
302,楷书,书体/印风
303,可大,字号
304,虔州赣县(今江西赣县),地名
305,杜牧,人名
306,牧之,字号
307,京兆万年(今陕西西安),地名
308,杜佑（祖父）,人名
309,乌程(今浙江湖州),地名
310,亚栖,人名
311,永嘉(今浙江温州),地名
312,景度,字号
313,虚白、癸巳人、希维居士、关西老农,字号
314,唐—五代,时间
315,华阴(今陕西华阴),地名
316,王安石,人名
317,李煜,人名
318,初名从嘉,字号
319,白莲居士等,字号
320,五代·南唐,时间
321,金错刀,流派
322,撮襟书,流派
323,徐铉,人名
324,鼎臣,字号
325,宋,时间
326,扬州广陵(今江苏扬州),地名
327,徐锴（弟）,人名
328,章友直,人名
329,得中,字号
330,岩夫民伯,字号
331,开封(今河南开封),地名
332,篆书,书体/印风
333,林逋,人名
334,君复,字号
335,杜衍,人名
336,世昌,字号
337,范仲淹,人名
338,希文,字号
339,伯益,字号
340,福建建安,地名
341,玉箸篆,书体/印风
342,文彦博,人名
343,宽夫,字号
344,汾州介休(今山西介休),地名
345,吕公弼,人名
346,宝臣,字号
347,寿州(今安徽寿县),地名
348,欧阳修,人名
349,永叔,字号
350,醉翁,字号
351,庐陵(今江西吉安),地名
352,韩琦,人名
353,稚圭,字号
354,戆叟,字号
355,桐州安阳(今河南安阳),地名
356,富弼,人名
357,苏洵,人名
358,明允,字号
359,老泉,字号
360,眉州眉山(今四川眉山),地名
361,韩绛,人名
362,子华,字号
363,开封雍丘(今河南杞县),地名
364,君谟,字号
365,兴化仙游(今福建仙游),地名
366,司马光,人名
367,君实,字号
368,陕州夏县(山西夏县),地名
369,介甫,字号
370,半山,字号
371,江西临川,地名
372,钱公辅,人名
373,君倚,字号
374,武进(今江苏常州),地名
375,沈遘,人名
376,文通,字号
377,西溪,字号
378,沈辽（弟）、沈括（从弟）,人名
379,范纯仁,人名
380,尧夫,字号
381,范仲淹（父）,人名
382,吕大防,人名
383,微仲,字号
